ctv,reporting_unit,contest,candidate,votes,county,municipality
T,BARRONETT,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,KAMALA D. HARRIS / TIM WALZ,95,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,DONALD J. TRUMP / JD VANCE,180,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,RANDALL TERRY / STEPHEN BRODEN,1,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CHASE RUSSELL OLIVER / MIKE TER MAAT,0,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,JILL STEIN / RUDOLPH WARE,1,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CLAUDIA DE LA CRUZ / KARINA GARDA,0,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CORNEL WEST / MELINA ABDULLAH,0,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,"ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",2,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,PETER SONSKI / LAUREN ONAK (WRITE-IN),0,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,CHERUNDA LYNN FOX (WRITE-IN),0,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,BRIAN KIENITZ (WRITE-IN),0,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,DOUG JENKINS / KIMBERLY LALONDE (WRITE-IN),0,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,FUTURE MADAM POTUS / JESSICA KENNEDY (WRITE-I,0,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,"ANDRE' RAMONE MCNEIL, SR. (WRITE-IN)",0,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_PRESIDENTIAL_BALLOT CANDIDATES,SCATTERING,1,WASHBURN,BARRONETT
T,BARRONETT,F E D E R A L O F F I C E S_US SENATOR_BALLOT CANDIDATES,TAMMY BALDWIN,94,WASHBURN,BARRONETT
