contest,candidate,reporting_unit,votes,county,ctv,municipality
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF ALMA,76,BUFFALO,T,ALMA
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF BELVIDERE,97,BUFFALO,T,BELVIDERE
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF BUFFALO,183,BUFFALO,T,BUFFALO
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF CANTON,52,BUFFALO,T,CANTON
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF CROSS,77,BUFFALO,T,CROSS
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF DOVER,95,BUFFALO,T,DOVER
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF GILMANTON,79,BUFFALO,T,GILMANTON
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF GLENCOE,71,BUFFALO,T,GLENCOE
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF LINCOLN,44,BUFFALO,T,LINCOLN
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF MAXVILLE,50,BUFFALO,T,MAXVILLE
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF MILTON,129,BUFFALO,T,MILTON
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF MODENA,62,BUFFALO,T,MODENA
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF MONDOVI,78,BUFFALO,T,MONDOVI
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF MONTANA,38,BUFFALO,T,MONTANA
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF NAPLES,126,BUFFALO,T,NAPLES
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF NELSON,101,BUFFALO,T,NELSON
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,TOWN OF WAUMANDEE,102,BUFFALO,T,WAUMANDEE
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,VILLAGE OF COCHRANE,95,BUFFALO,V,COCHRANE
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,VILLAGE OF NELSON,66,BUFFALO,V,NELSON
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,CITY OF ALMA W1&2,207,BUFFALO,C,ALMA
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,CITY OF BUFFALO CITY,259,BUFFALO,C,BUFFALO CITY
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,CITY OF FOUNTAIN CITY W1&2,202,BUFFALO,C,FOUNTAIN CITY
PRESIDENT/VICE PRESIDENT 8111,DEMOCRATIC KAMALA D. HARRIS / TIM WALZ,CITY OF MONDOVI W13,476,BUFFALO,C,MONDOVI
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF ALMA,102,BUFFALO,T,ALMA
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF BELVIDERE,207,BUFFALO,T,BELVIDERE
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF BUFFALO,295,BUFFALO,T,BUFFALO
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF CANTON,120,BUFFALO,T,CANTON
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF CROSS,176,BUFFALO,T,CROSS
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF DOVER,160,BUFFALO,T,DOVER
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF GILMANTON,181,BUFFALO,T,GILMANTON
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF GLENCOE,179,BUFFALO,T,GLENCOE
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF LINCOLN,89,BUFFALO,T,LINCOLN
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF MAXVILLE,160,BUFFALO,T,MAXVILLE
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF MILTON,246,BUFFALO,T,MILTON
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF MODENA,115,BUFFALO,T,MODENA
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF MONDOVI,214,BUFFALO,T,MONDOVI
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF MONTANA,108,BUFFALO,T,MONTANA
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF NAPLES,318,BUFFALO,T,NAPLES
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF NELSON,244,BUFFALO,T,NELSON
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,TOWN OF WAUMANDEE,223,BUFFALO,T,WAUMANDEE
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,VILLAGE OF COCHRANE,143,BUFFALO,V,COCHRANE
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,VILLAGE OF NELSON,117,BUFFALO,V,NELSON
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,CITY OF ALMA W1&2,243,BUFFALO,C,ALMA
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,CITY OF BUFFALO CITY,386,BUFFALO,C,BUFFALO CITY
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,CITY OF FOUNTAIN CITY W1&2,237,BUFFALO,C,FOUNTAIN CITY
PRESIDENT/VICE PRESIDENT 8111,REPUBLICAN DONALD J. TRUMP / JD VANCE,CITY OF MONDOVI W13,950,BUFFALO,C,MONDOVI
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF ALMA,0,BUFFALO,T,ALMA
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF BELVIDERE,1,BUFFALO,T,BELVIDERE
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF BUFFALO,1,BUFFALO,T,BUFFALO
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF CANTON,0,BUFFALO,T,CANTON
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF CROSS,0,BUFFALO,T,CROSS
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF DOVER,1,BUFFALO,T,DOVER
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF GILMANTON,0,BUFFALO,T,GILMANTON
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF GLENCOE,0,BUFFALO,T,GLENCOE
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF LINCOLN,1,BUFFALO,T,LINCOLN
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF MAXVILLE,3,BUFFALO,T,MAXVILLE
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF MILTON,1,BUFFALO,T,MILTON
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF MODENA,0,BUFFALO,T,MODENA
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF MONDOVI,0,BUFFALO,T,MONDOVI
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF MONTANA,1,BUFFALO,T,MONTANA
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF NAPLES,1,BUFFALO,T,NAPLES
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF NELSON,1,BUFFALO,T,NELSON
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,TOWN OF WAUMANDEE,0,BUFFALO,T,WAUMANDEE
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,VILLAGE OF COCHRANE,1,BUFFALO,V,COCHRANE
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,VILLAGE OF NELSON,1,BUFFALO,V,NELSON
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,CITY OF ALMA W1&2,0,BUFFALO,C,ALMA
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,CITY OF BUFFALO CITY,1,BUFFALO,C,BUFFALO CITY
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,CITY OF FOUNTAIN CITY W1&2,2,BUFFALO,C,FOUNTAIN CITY
PRESIDENT/VICE PRESIDENT 8111,CONSTITUTION RANDALL TERRY / STEPHEN BRODEN,CITY OF MONDOVI W13,0,BUFFALO,C,MONDOVI
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF ALMA,1,BUFFALO,T,ALMA
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF BELVIDERE,1,BUFFALO,T,BELVIDERE
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF BUFFALO,0,BUFFALO,T,BUFFALO
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF CANTON,1,BUFFALO,T,CANTON
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF CROSS,2,BUFFALO,T,CROSS
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF DOVER,0,BUFFALO,T,DOVER
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF GILMANTON,0,BUFFALO,T,GILMANTON
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF GLENCOE,0,BUFFALO,T,GLENCOE
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF LINCOLN,0,BUFFALO,T,LINCOLN
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF MAXVILLE,0,BUFFALO,T,MAXVILLE
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF MILTON,1,BUFFALO,T,MILTON
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF MODENA,0,BUFFALO,T,MODENA
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF MONDOVI,0,BUFFALO,T,MONDOVI
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF MONTANA,1,BUFFALO,T,MONTANA
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF NAPLES,1,BUFFALO,T,NAPLES
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF NELSON,0,BUFFALO,T,NELSON
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,TOWN OF WAUMANDEE,0,BUFFALO,T,WAUMANDEE
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,VILLAGE OF COCHRANE,1,BUFFALO,V,COCHRANE
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,VILLAGE OF NELSON,2,BUFFALO,V,NELSON
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,CITY OF ALMA W1&2,3,BUFFALO,C,ALMA
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,CITY OF BUFFALO CITY,1,BUFFALO,C,BUFFALO CITY
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,CITY OF FOUNTAIN CITY W1&2,1,BUFFALO,C,FOUNTAIN CITY
PRESIDENT/VICE PRESIDENT 8111,LIBERTARIAN PARTY CHASE RUSSELL OLIVER / MIKE TER MAAT,CITY OF MONDOVI W13,1,BUFFALO,C,MONDOVI
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF ALMA,0,BUFFALO,T,ALMA
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF BELVIDERE,0,BUFFALO,T,BELVIDERE
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF BUFFALO,2,BUFFALO,T,BUFFALO
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF CANTON,2,BUFFALO,T,CANTON
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF CROSS,0,BUFFALO,T,CROSS
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF DOVER,1,BUFFALO,T,DOVER
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF GILMANTON,2,BUFFALO,T,GILMANTON
PRESIDENT/VICE PRESIDENT 8111,WISCONSIN GREEN JILL STEIN / RUDOLPH WARE,TOWN OF GLENCOE,0,BUFFALO,T,GLENCOE
