contest,candidate,reporting_unit,votes,county,ctv,municipality
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,TOWN ELCHO WD 1-2,0,LANGLADE,T,ELCHO
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,TOWN EVERGREEN,0,LANGLADE,T,EVERGREEN
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,TOWN LANGLADE WD 1-2,0,LANGLADE,T,LANGLADE
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,TOWN NEVA,0,LANGLADE,T,NEVA
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,TOWN NORWOOD,0,LANGLADE,T,NORWOOD
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,TOWN PARRISH,0,LANGLADE,T,PARRISH
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,TOWN PECK,0,LANGLADE,T,PECK
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,TOWN POLAR WD 1-2,0,LANGLADE,T,POLAR
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,TOWN PRICE WD 1-2,0,LANGLADE,T,PRICE
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,TOWN ROLLING WD 1-2,0,LANGLADE,T,ROLLING
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,TOWN SUMMIT,0,LANGLADE,T,SUMMIT
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,TOWN UPHAM,0,LANGLADE,T,UPHAM
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,TOWN VILAS,0,LANGLADE,T,VILAS
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,TOWN WOLF RIVER WD 1-2,0,LANGLADE,T,WOLF RIVER
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,VILLAGE WHITE LAKE,0,LANGLADE,V,WHITE LAKE
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,CITY OF ANTIGO WARD 1,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,CITY OF ANTIGO WARD 2,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,CITY OF ANTIGO WARD 3,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,CITY OF ANTIGO WARD 4,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,CITY OF ANTIGO WARD 5,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,CITY OF ANTIGO WARD 6,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,CITY OF ANTIGO WARD 7,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,CITY OF ANTIGO WARD 8,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,RANDALL TERRY,CITY OF ANTIGO WARD 9,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN ACKLEY,0,LANGLADE,T,ACKLEY
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN AINSWORTH,0,LANGLADE,T,AINSWORTH
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN ANTIGO WD 1-2,0,LANGLADE,T,ANTIGO
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN ELCHO WD 1-2,0,LANGLADE,T,ELCHO
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN EVERGREEN,0,LANGLADE,T,EVERGREEN
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN LANGLADE WD 1-2,0,LANGLADE,T,LANGLADE
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN NEVA,0,LANGLADE,T,NEVA
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN NORWOOD,0,LANGLADE,T,NORWOOD
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN PARRISH,0,LANGLADE,T,PARRISH
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN PECK,0,LANGLADE,T,PECK
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN POLAR WD 1-2,0,LANGLADE,T,POLAR
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN PRICE WD 1-2,0,LANGLADE,T,PRICE
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN ROLLING WD 1-2,0,LANGLADE,T,ROLLING
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN SUMMIT,0,LANGLADE,T,SUMMIT
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN UPHAM,0,LANGLADE,T,UPHAM
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN VILAS,0,LANGLADE,T,VILAS
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,TOWN WOLF RIVER WD 1-2,0,LANGLADE,T,WOLF RIVER
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,VILLAGE WHITE LAKE,0,LANGLADE,V,WHITE LAKE
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,CITY OF ANTIGO WARD 1,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,CITY OF ANTIGO WARD 2,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,CITY OF ANTIGO WARD 3,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,CITY OF ANTIGO WARD 4,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,CITY OF ANTIGO WARD 5,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,CITY OF ANTIGO WARD 6,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,CITY OF ANTIGO WARD 7,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,CITY OF ANTIGO WARD 8,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CHASE RUSSELL OLIVER,CITY OF ANTIGO WARD 9,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN ACKLEY,0,LANGLADE,T,ACKLEY
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN AINSWORTH,0,LANGLADE,T,AINSWORTH
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN ANTIGO WD 1-2,0,LANGLADE,T,ANTIGO
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN ELCHO WD 1-2,0,LANGLADE,T,ELCHO
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN EVERGREEN,0,LANGLADE,T,EVERGREEN
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN LANGLADE WD 1-2,0,LANGLADE,T,LANGLADE
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN NEVA,0,LANGLADE,T,NEVA
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN NORWOOD,0,LANGLADE,T,NORWOOD
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN PARRISH,0,LANGLADE,T,PARRISH
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN PECK,0,LANGLADE,T,PECK
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN POLAR WD 1-2,0,LANGLADE,T,POLAR
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN PRICE WD 1-2,0,LANGLADE,T,PRICE
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN ROLLING WD 1-2,0,LANGLADE,T,ROLLING
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN SUMMIT,0,LANGLADE,T,SUMMIT
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN UPHAM,0,LANGLADE,T,UPHAM
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN VILAS,0,LANGLADE,T,VILAS
PRESIDENT OF THE UNITED STATES,JILL STEIN,TOWN WOLF RIVER WD 1-2,0,LANGLADE,T,WOLF RIVER
PRESIDENT OF THE UNITED STATES,JILL STEIN,VILLAGE WHITE LAKE,0,LANGLADE,V,WHITE LAKE
PRESIDENT OF THE UNITED STATES,JILL STEIN,CITY OF ANTIGO WARD 1,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,JILL STEIN,CITY OF ANTIGO WARD 2,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,JILL STEIN,CITY OF ANTIGO WARD 3,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,JILL STEIN,CITY OF ANTIGO WARD 4,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,JILL STEIN,CITY OF ANTIGO WARD 5,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,JILL STEIN,CITY OF ANTIGO WARD 6,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,JILL STEIN,CITY OF ANTIGO WARD 7,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,JILL STEIN,CITY OF ANTIGO WARD 8,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,JILL STEIN,CITY OF ANTIGO WARD 9,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN ACKLEY,0,LANGLADE,T,ACKLEY
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN AINSWORTH,0,LANGLADE,T,AINSWORTH
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN ANTIGO WD 1-2,0,LANGLADE,T,ANTIGO
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN ELCHO WD 1-2,0,LANGLADE,T,ELCHO
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN EVERGREEN,0,LANGLADE,T,EVERGREEN
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN LANGLADE WD 1-2,0,LANGLADE,T,LANGLADE
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN NEVA,0,LANGLADE,T,NEVA
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN NORWOOD,0,LANGLADE,T,NORWOOD
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN PARRISH,0,LANGLADE,T,PARRISH
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN PECK,0,LANGLADE,T,PECK
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN POLAR WD 1-2,0,LANGLADE,T,POLAR
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN PRICE WD 1-2,0,LANGLADE,T,PRICE
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN ROLLING WD 1-2,0,LANGLADE,T,ROLLING
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN SUMMIT,0,LANGLADE,T,SUMMIT
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN UPHAM,0,LANGLADE,T,UPHAM
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN VILAS,0,LANGLADE,T,VILAS
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,TOWN WOLF RIVER WD 1-2,0,LANGLADE,T,WOLF RIVER
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,VILLAGE WHITE LAKE,0,LANGLADE,V,WHITE LAKE
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,CITY OF ANTIGO WARD 1,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,CITY OF ANTIGO WARD 2,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,CITY OF ANTIGO WARD 3,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,CITY OF ANTIGO WARD 4,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,CITY OF ANTIGO WARD 5,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,CITY OF ANTIGO WARD 6,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,CITY OF ANTIGO WARD 7,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,CITY OF ANTIGO WARD 8,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CLAUDIA DE LA CRUZ,CITY OF ANTIGO WARD 9,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN ACKLEY,0,LANGLADE,T,ACKLEY
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN AINSWORTH,0,LANGLADE,T,AINSWORTH
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN ANTIGO WD 1-2,0,LANGLADE,T,ANTIGO
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN ELCHO WD 1-2,0,LANGLADE,T,ELCHO
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN EVERGREEN,0,LANGLADE,T,EVERGREEN
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN LANGLADE WD 1-2,0,LANGLADE,T,LANGLADE
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN NEVA,0,LANGLADE,T,NEVA
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN NORWOOD,0,LANGLADE,T,NORWOOD
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN PARRISH,0,LANGLADE,T,PARRISH
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN PECK,0,LANGLADE,T,PECK
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN POLAR WD 1-2,0,LANGLADE,T,POLAR
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN PRICE WD 1-2,0,LANGLADE,T,PRICE
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN ROLLING WD 1-2,0,LANGLADE,T,ROLLING
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN SUMMIT,0,LANGLADE,T,SUMMIT
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN UPHAM,0,LANGLADE,T,UPHAM
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN VILAS,0,LANGLADE,T,VILAS
PRESIDENT OF THE UNITED STATES,CORNEL WEST,TOWN WOLF RIVER WD 1-2,0,LANGLADE,T,WOLF RIVER
PRESIDENT OF THE UNITED STATES,CORNEL WEST,VILLAGE WHITE LAKE,0,LANGLADE,V,WHITE LAKE
PRESIDENT OF THE UNITED STATES,CORNEL WEST,CITY OF ANTIGO WARD 1,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CORNEL WEST,CITY OF ANTIGO WARD 2,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CORNEL WEST,CITY OF ANTIGO WARD 3,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CORNEL WEST,CITY OF ANTIGO WARD 4,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CORNEL WEST,CITY OF ANTIGO WARD 5,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CORNEL WEST,CITY OF ANTIGO WARD 6,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CORNEL WEST,CITY OF ANTIGO WARD 7,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CORNEL WEST,CITY OF ANTIGO WARD 8,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,CORNEL WEST,CITY OF ANTIGO WARD 9,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN ACKLEY,0,LANGLADE,T,ACKLEY
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN AINSWORTH,0,LANGLADE,T,AINSWORTH
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN ANTIGO WD 1-2,0,LANGLADE,T,ANTIGO
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN ELCHO WD 1-2,0,LANGLADE,T,ELCHO
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN EVERGREEN,0,LANGLADE,T,EVERGREEN
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN LANGLADE WD 1-2,0,LANGLADE,T,LANGLADE
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN NEVA,0,LANGLADE,T,NEVA
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN NORWOOD,0,LANGLADE,T,NORWOOD
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN PARRISH,0,LANGLADE,T,PARRISH
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN PECK,0,LANGLADE,T,PECK
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN POLAR WD 1-2,0,LANGLADE,T,POLAR
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN PRICE WD 1-2,0,LANGLADE,T,PRICE
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN ROLLING WD 1-2,0,LANGLADE,T,ROLLING
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN SUMMIT,0,LANGLADE,T,SUMMIT
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN UPHAM,0,LANGLADE,T,UPHAM
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN VILAS,0,LANGLADE,T,VILAS
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",TOWN WOLF RIVER WD 1-2,0,LANGLADE,T,WOLF RIVER
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",VILLAGE WHITE LAKE,0,LANGLADE,V,WHITE LAKE
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",CITY OF ANTIGO WARD 1,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",CITY OF ANTIGO WARD 2,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",CITY OF ANTIGO WARD 3,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",CITY OF ANTIGO WARD 4,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",CITY OF ANTIGO WARD 5,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",CITY OF ANTIGO WARD 6,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",CITY OF ANTIGO WARD 7,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",CITY OF ANTIGO WARD 8,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,"ROBERT F. KENNEDY, JR.",CITY OF ANTIGO WARD 9,0,LANGLADE,C,ANTIGO
PRESIDENT OF THE UNITED STATES,WRITE-IN:,TOWN ACKLEY,0,LANGLADE,T,ACKLEY
PRESIDENT OF THE UNITED STATES,WRITE-IN:,TOWN AINSWORTH,0,LANGLADE,T,AINSWORTH
