municipality,reporting_unit,contest,candidate,votes,county,ctv
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,813,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,613,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,GRN JILL STEIN / RUDOLPH WARE,18,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,"WTP ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",6,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,5,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,JFA CORNEL WEST / MELINA ABDULLAH,4,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,PSL CLAUDIA DE LA CRUZ / KARINA GARCIA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,PRESIDENT / VICE PRESIDENT,WRITE-IN NA,9,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,UNITED STATES SENATOR,DEM TAMMY BALDWIN,833,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,UNITED STATES SENATOR,REP ERIC HOVDE,584,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,UNITED STATES SENATOR,DTC PHIL ANDERSON,17,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,UNITED STATES SENATOR,AFT THOMAS LEAGER,17,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,UNITED STATES SENATOR,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,REPRESENTATIVE IN CONGRESS,DEM PETER BARCA,832,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,REPRESENTATIVE IN CONGRESS,REP BRYAN STEIL,591,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,REPRESENTATIVE IN CONGRESS,"GRN CHESTER TODD, JR.",29,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,REPRESENTATIVE IN CONGRESS,WRITE-IN NA,0,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,STATE SENATOR DISTRICT 22,DEM ROBERT W. WIRCH,1055,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,STATE SENATOR DISTRICT 22,WRITE-IN NA,36,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,DEM TIP MCGUIRE,852,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,REP ED HIBSCH,571,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,REPRESENTATIVE TO THE ASSEMBLY DISTRICT 64,WRITE-IN NA,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,DISTRICT ATTORNEY,DEM CARLI MCNEILL,858,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,DISTRICT ATTORNEY,REP XAVIER SOLIS,561,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,DISTRICT ATTORNEY,WRITE-IN NA,1,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,COUNTY CLERK,DEM REGI WALIGORA,1050,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,COUNTY CLERK,WRITE-IN NA,33,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,COUNTY TREASURER,DEM TERI JACOBSON,1041,KENOSHA,C
KENOSHA,CITY OF KENOSHA WARDS 1,COUNTY TREASURER,WRITE-IN NA,33,KENOSHA,C
