contest,candidate,votes,reporting_unit,county,ctv,municipality
PRESIDENT / VICE PRESIDENT,DEM KAMALA D. HARRIS / TIM WALZ,233,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,REP DONALD J. TRUMP / JD VANCE,331,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,CON RANDALL TERRY / STEPHEN BRODEN,1,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,LIB CHASE RUSSELL OLIVER / MIKE TER MAAT,1,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,WGR JILL STEIN / RUDOLPH WARE,1,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,IND CLAUDIA DE LA CRUZ / KARINA GARCIA,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,IND CORNEL WEST / MELINA ABDULLAH,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,"IND ROBERT F. KENNEDY, JR. / NICOLE SHANAHAN",1,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
PRESIDENT / VICE PRESIDENT,WRITE-IN TOTALS,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
UNITED STATES SENATOR,DEM TAMMY BALDWIN,243,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
UNITED STATES SENATOR,REP ERIC HOVDE,317,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
UNITED STATES SENATOR,IND PHIL ANDERSON,3,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
UNITED STATES SENATOR,IND THOMAS LEAGER,2,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
UNITED STATES SENATOR,WRITE-IN TOTALS,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
REPRESENTATIVE IN CONGRESS DISTRICT 6,DEM JOHN ZARBANO,212,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
REPRESENTATIVE IN CONGRESS DISTRICT 6,REP GLENN GROTHMAN,332,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
REPRESENTATIVE IN CONGRESS DISTRICT 6,WRITE-IN TOTALS,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
STATE SENATOR DISTRICT 14,DEM SARAH KEYESKI,238,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
STATE SENATOR DISTRICT 14,REP JOAN A. BALLWEG,320,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
STATE SENATOR DISTRICT 14,WRITE-IN TOTALS,0,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 42,DEM MAUREEN MCCARVILLE,213,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 42,REP REBECCA WITHERSPOON,335,TOWN OF ARLINGTON,COLUMBIA,T,ARLINGTON
